,United States,"Atlanta, GA","Austin, TX","Boston, MA","Chicago, IL","Cleveland, OH","Dallas-Fort Worth, TX","Denver, CO","Detroit, MI","Houston, TX","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale, FL","Minneapolis-St Paul, MN","Nashville, TN","New York, NY","Philadelphia, PA","Phoenix, AZ","San Francisco, CA","Seattle, WA","St. Louis, MO","Washington, DC"
2014-01,-19.6,-25.7,-20.2,-17.0,-13.9,-13.5,-22.0,-32.2,-16.7,-15.6,-27.7,-17.7,-21.0,-25.9,-14.2,-15.0,-28.0,-32.2,-30.3,-13.3,-12.8
2014-02,-19.2,-25.4,-19.5,-16.7,-13.6,-13.3,-21.5,-31.0,-16.5,-14.8,-27.0,-17.2,-20.6,-25.0,-13.7,-14.7,-27.7,-30.9,-29.5,-13.1,-12.4
2014-03,-18.8,-25.0,-18.9,-16.4,-13.2,-13.0,-21.0,-29.7,-16.2,-14.0,-26.3,-16.8,-20.2,-24.2,-13.3,-14.5,-27.3,-29.7,-28.9,-12.7,-12.0
2014-04,-18.3,-24.7,-18.3,-16.1,-12.9,-12.8,-20.5,-28.5,-16.0,-13.2,-25.6,-16.4,-19.8,-23.4,-12.9,-14.1,-26.9,-28.5,-28.1,-12.4,-11.6
2014-05,-17.9,-24.4,-17.7,-15.8,-12.6,-12.5,-20.0,-27.4,-15.6,-12.4,-24.9,-15.9,-19.4,-22.6,-12.4,-13.9,-26.5,-27.2,-27.4,-12.2,-11.2
2014-06,-17.5,-24.0,-17.1,-15.5,-12.3,-12.2,-19.5,-26.2,-15.4,-11.7,-24.3,-15.5,-19.0,-21.8,-12.0,-13.6,-26.2,-26.0,-26.7,-11.9,-10.9
2014-07,-17.0,-23.7,-16.5,-15.2,-11.9,-12.0,-19.1,-25.0,-15.1,-10.9,-23.6,-15.0,-18.6,-21.0,-11.6,-13.3,-25.8,-24.8,-26.0,-11.6,-10.5
2014-08,-16.6,-23.4,-15.9,-15.0,-11.6,-11.7,-18.6,-23.8,-14.9,-10.2,-23.0,-14.6,-18.2,-20.2,-11.2,-13.0,-25.4,-23.6,-25.3,-11.4,-10.1
2014-09,-16.2,-23.0,-15.3,-14.7,-11.3,-11.4,-18.2,-22.7,-14.6,-9.5,-22.3,-14.1,-17.8,-19.4,-10.8,-12.7,-25.0,-22.4,-24.7,-11.1,-9.7
2014-10,-15.8,-22.7,-14.7,-14.4,-11.0,-11.1,-17.7,-21.5,-14.4,-8.7,-21.7,-13.7,-17.4,-18.6,-10.3,-12.5,-24.7,-21.2,-24.0,-10.8,-9.4
2014-11,-15.4,-22.3,-14.2,-14.1,-10.7,-10.8,-17.2,-20.5,-14.0,-8.2,-21.1,-13.2,-17.0,-18.0,-9.9,-12.2,-24.3,-20.1,-23.4,-10.6,-9.1
