ZIP,PO_NAME,2021-05,change_before_pandemic
94103,SAN FRANCISCO,2571.0,-27.290723981900456
94565,PITTSBURG,2405.0,9.070294784580497
94520,CONCORD,2160.0,5.623471882640587
94553,MARTINEZ,2573.0,5.278232405891984
94509,ANTIOCH,2254.0,14.011127971674256
94513,BRENTWOOD,2934.0,12.113106610622864
94109,SAN FRANCISCO,2389.0,-21.181128340481692
94598,WALNUT CREEK,2963.0,2.8462339465463344
94901,SAN RAFAEL,2775.0,-2.4604569420035176
94531,ANTIOCH,2804.0,11.446740858505564
94803,EL SOBRANTE,2558.0,2.075019952114914
94601,OAKLAND,1965.0,0.050916496945021095
94523,PLEASANT HILL,2732.0,6.138306138306149
94115,SAN FRANCISCO,2887.0,-18.44632768361582
94804,RICHMOND,2306.0,1.541171290180543
94596,WALNUT CREEK,2517.0,-3.0431432973805954
94105,SAN FRANCISCO,3104.0,-28.148148148148138
94941,MILL VALLEY,3832.0,9.391949757350844
94703,BERKELEY,2467.0,-4.007782101167308
94965,SAUSALITO,3459.0,-2.8097780275358275
94118,SAN FRANCISCO,3072.0,-8.977777777777774
94611,OAKLAND,2861.0,-8.183568677792039
94609,OAKLAND,2450.0,-7.161803713527846
94550,LIVERMORE,3002.0,5.333333333333329
94608,EMERYVILLE,2383.0,-11.214605067064085
94526,DANVILLE,3401.0,5.653929791860833
94607,OAKLAND,2546.0,-10.288935870331215
94123,SAN FRANCISCO,3333.0,-15.769522365428358
94610,OAKLAND,2278.0,-9.960474308300391
94583,SAN RAMON,3378.0,4.9720323182100685
94602,OAKLAND,2556.0,3.147699757869262
94546,CASTRO VALLEY,2499.0,2.5441116126385026
94133,SAN FRANCISCO,2868.0,-23.844928305894854
94606,OAKLAND,2185.0,-4.250657318141975
94619,OAKLAND,2608.0,-1.5477538693846782
94121,SAN FRANCISCO,2762.0,-9.501965923984272
94501,ALAMEDA,2271.0,0.6202924235711151
94108,SAN FRANCISCO,2304.0,-19.805081796032027
94117,SAN FRANCISCO,3054.0,-16.14497528830313
94122,SAN FRANCISCO,3003.0,-5.476864966949961
94114,SAN FRANCISCO,3315.0,-14.60587326120556
94107,SAN FRANCISCO,3264.0,-24.02234636871509
94110,SAN FRANCISCO,3181.0,-18.37310751860406
94588,PLEASANTON,3244.0,2.108907774630154
94131,SAN FRANCISCO,3191.0,-14.17428725121033
94116,SAN FRANCISCO,3363.0,-6.1139028475711825
94112,SAN FRANCISCO,3303.0,-9.655361050328224
94568,DUBLIN,2759.0,-0.5407354001442002
94015,DALY CITY,3253.0,4.598070739549826
94541,HAYWARD,2334.0,5.229936880072145
94566,PLEASANTON,3163.0,4.148831083305907
94544,HAYWARD,2412.0,-1.1070110701107012
94080,SOUTH SAN FRANCISCO,2981.0,-8.078939253777364
94587,UNION CITY,2523.0,0.039651070578912595
94555,FREMONT,3326.0,-0.38933812518718014
94010,BURLINGAME,2870.0,-7.059585492227981
94536,FREMONT,2668.0,-0.5219985085756917
94539,FREMONT,3390.0,2.046959662853709
94402,SAN MATEO,3300.0,-10.520607375271155
94404,SAN MATEO,3573.0,-10.47356552242546
94538,FREMONT,2683.0,-2.7546212395795635
94002,BELMONT,2587.0,-8.683374514648776
94070,SAN CARLOS,3320.0,-6.320541760722335
95134,SAN JOSE,2684.0,-10.324089542265284
94062,REDWOOD CITY,2615.0,-8.789675619114064
94301,PALO ALTO,4033.0,-11.2260620735197
94025,MENLO PARK,3650.0,-12.491009350275718
94303,PALO ALTO,4604.0,2.9516994633273583
95035,MILPITAS,2961.0,-1.5952143569292048
94061,REDWOOD CITY,2956.0,-7.912772585669785
94043,MOUNTAIN VIEW,3280.0,-15.74621114821474
94306,PALO ALTO,3783.0,-7.506112469437653
94040,MOUNTAIN VIEW,2885.0,-17.94653014789533
94086,SUNNYVALE,2637.0,-11.77651388424222
94087,SUNNYVALE,3224.0,-8.82352941176471
